x_id,subject,subject_type,relation,y_id,object,object_type,source
1763,soft-tissue inflammation,clinical manifestations,clinical manifestations_happens at_oral part,830,gums,oral part,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_159
1764,gingival bleeding,clinical manifestations,clinical manifestations_happens at_oral part,830,gums,oral part,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_159
1765,exposed bone,clinical manifestations,clinical manifestations_happens at_oral part,827,teeth,oral part,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_159
1766,increasing pain,clinical manifestations,clinical manifestations_happens at_oral part,827,teeth,oral part,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_159
1767,necrotic bone,clinical manifestations,clinical manifestations_happens at_oral part,827,teeth,oral part,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_159
1768,chronic inflammatory cells,clinical manifestations,clinical manifestations_happens at_oral part,830,gums,oral part,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_159
780,biopsy,treatment,treatment_frequency,1773,1-year recall,frequency,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_159
780,biopsy,treatment,treatment_frequency,1774,4-year recall,frequency,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_159
1770,bisphosphonate,medicine,medicine_treats_disease,1771,osteonecrosis of the jaw,disease,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_159
521,osteomyelitis,disease,disease_lack response_examination,1772,radiograph,examination,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_159
1766,increasing pain,symptom,symptom_cause_symptom,1765,exposed bone,symptom,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_159
1765,exposed bone,symptom,symptom_cause_symptom,1767,necrotic bone,symptom,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_159
1767,necrotic bone,symptom,symptom_cause_symptom,1768,chronic inflammatory cells,symptom,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_159
1766,increasing pain,symptom,symptom_has_description,1775,due to destructive nature of pe bone loss,description,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_159
1765,exposed bone,symptom,symptom_has_description,1776,consistent wip osteomyelitis,description,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_159
1767,necrotic bone,symptom,symptom_has_description,1776,consistent wip osteomyelitis,description,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_159
1768,chronic inflammatory cells,symptom,symptom_has_description,1776,consistent wip osteomyelitis,description,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_159
1770,bisphosphonate,medicine,medicine_side-effect_disease,1771,osteonecrosis of the jaw,disease,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_159
1770,bisphosphonate,medicine,medicine_side-effect_symptom,1771,osteonecrosis of the jaw,symptom,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_159
1777,intraoral swelling,disease,disease_caused_disease,1778,associated pathosis,disease,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_16
1779,mronj,disease,medicine_contraindication_disease,1780,antiresorptive or antiangiogenic agents,medicine,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_160
1779,mronj,disease,disease_caused_disease,233,periodontal disease,disease,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_161
1779,mronj,disease,disease_caused_disease,1781,periapical inflammation,disease,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_161
1782,antiresorptive medications,medicine,medicine_contraindication_disease,1779,mronj,disease,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_161
1782,antiresorptive medications,medicine,medicine_side-effect_symptom,1779,mronj,symptom,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_161
1782,antiresorptive medications,medicine,medicine_side-effect_disease,1779,mronj,disease,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_161
1783,bisphosphonates,medicine,medicine_contraindication_disease,1779,mronj,disease,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_162
1784,high-grade lymphomas,disease,disease_caused_disease,1785,low-grade lymphomas,disease,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_166
1786,metastatic disease,disease,disease_caused_disease,1787,primary carcinoma,disease,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_167
1454,malignancy,clinical manifestations,disease_has_clinical manifestations,1788,multiple areas of radiolucency,symptom,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_168
1789,multiple myeloma,clinical manifestations,disease_has_clinical manifestations,1790,simultaneous involvement in many bones,symptom,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_168
1789,multiple myeloma,disease,disease_has_description,1791,uncommon malignancy of plasma cells,description,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_168
1789,multiple myeloma,disease,medicine_contraindication_disease,1570,chemotherapy,medicine,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_168
1789,multiple myeloma,disease,medicine_contraindication_disease,1792,radiotherapy,medicine,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_168
1570,chemotherapy,medicine,medicine_side-effect_disease,1789,multiple myeloma,disease,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_168
1792,radiotherapy,medicine,medicine_side-effect_disease,1789,multiple myeloma,disease,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_168
1793,periapical image,examination,examination_has_description,1794,demonstrating multiple areas of radiolucency,description,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_168
1661,cbct,examination,examination_has_description,1795,irregular and ill-defined loss of density,description,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_168
1796,achiness,symptom,symptom_cause_symptom,1797,loose teeth,symptom,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_168
1796,achiness,symptom,symptom_cause_symptom,1788,multiple areas of radiolucency,symptom,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_168
1796,achiness,symptom,symptom_cause_symptom,1798,ill-defined radiolucencies,symptom,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_168
1796,achiness,symptom,symptom_cause_symptom,1799,slight widening of the pdl space,symptom,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_168
1796,achiness,symptom,symptom_cause_symptom,1800,radiopaque appearance,symptom,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_168
1454,malignancy,disease,disease_examination,1793,periapical image,examination,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_168
1454,malignancy,disease,disease_examination,1661,cbct,examination,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_168
1801,metastatic breast cancer,disease,disease_examination,1793,periapical image,examination,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_168
1801,metastatic breast cancer,disease,disease_examination,1661,cbct,examination,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_168
1793,periapical image,examination,examination_has_description,1794,demonstrating multiple areas of radiolucency,description,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_168
1789,multiple myeloma,disease,disease_caused_disease,1802,renal failure,disease,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_169
1789,multiple myeloma,disease,disease_has_clinical manifestations,1803,multiple osseous defects,clinical manifestations,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_170
702,periapical cyst,disease,disease_has_clinical manifestations,1804,well-defined unilocular periapical radiolucencies,clinical manifestations,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_170
703,periapical granuloma,disease,disease_has_clinical manifestations,1804,well-defined unilocular periapical radiolucencies,clinical manifestations,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_170
1789,multiple myeloma,disease,disease_usually happens_population,1805,elderly population,population,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_170
1094,root resorption,treatment,treatment_frequency,1806,not common,frequency,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_170
1634,periapical cysts,disease,disease_caused_disease,1469,pulp necrosis,disease,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_171
703,periapical granuloma,disease,disease_has_clinical manifestations,1807,well-defined radiolucency at pe root apex,clinical manifestations,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_172
702,periapical cyst,disease,disease_has_clinical manifestations,1807,well-defined radiolucency at pe root apex,clinical manifestations,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_172
703,periapical granuloma,disease,disease_caused_disease,702,periapical cyst,disease,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_172
743,apical surgery,treatment,treatment_has_description,1808,surgical removal of infected tissue,description,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_172
743,apical surgery,treatment,treatment_has_description,780,biopsy,description,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_172
743,apical surgery,treatment,treatment_frequency,1809,single,frequency,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_172
780,biopsy,treatment,treatment_frequency,1809,single,frequency,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_172
703,periapical granuloma,disease,disease_lack response_examination,1661,cbct,examination,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_172
702,periapical cyst,disease,disease_lack response_examination,1661,cbct,examination,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_172
703,periapical granuloma,disease,disease_usually happens_population,490,adults,population,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_172
702,periapical cyst,disease,disease_usually happens_population,490,adults,population,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_172
1807,well-defined radiolucency at pe root apex,clinical manifestations,clinical manifestations_use_treatment,743,apical surgery,treatment,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_172
1807,well-defined radiolucency at pe root apex,clinical manifestations,clinical manifestations_use_treatment,780,biopsy,treatment,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_172
703,periapical granuloma,disease,parent-child,702,periapical cyst,disease,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_172
490,adults,population,parent-child,703,periapical granuloma,disease,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_172
490,adults,population,parent-child,702,periapical cyst,disease,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_172
703,periapical granuloma,disease,disease_treatment,743,apical surgery,treatment,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_172
702,periapical cyst,disease,disease_treatment,743,apical surgery,treatment,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_172
1807,well-defined radiolucency at pe root apex,clinical manifestations,clinical manifestations_from_examination,1661,cbct,examination,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_172
1807,well-defined radiolucency at pe root apex,clinical manifestations,clinical manifestations_from_examination,1810,multislice-ct,examination,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_172
703,periapical granuloma,disease,disease_examination,1661,cbct,examination,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_172
702,periapical cyst,disease,disease_examination,1661,cbct,examination,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_172
1807,well-defined radiolucency at pe root apex,clinical manifestations,clinical manifestations_happens at_oral part,1811,tooth #8,oral part,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_172
1807,well-defined radiolucency at pe root apex,clinical manifestations,clinical manifestations_happens at_oral part,1812,tooth #10,oral part,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_172
780,biopsy,treatment,treatment_frequency,1809,single,frequency,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_172
743,apical surgery,treatment,treatment_frequency,1809,single,frequency,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_172
702,periapical cyst,disease,disease_lack response_examination,1661,cbct,examination,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_172
702,periapical cyst,disease,disease_caused_disease,703,periapical granuloma,disease,suo_._second_term_800_chunks_P3_1_temp_part_1_chunk_173
1342,dental caries,disease,disease_has_clinical manifestations,1813,signs and symptoms,clinical manifestations,suo_._second_term_800_chunks_P3_10_chunk_1
1814,white-spot lesions,disease,disease_caused_disease,242,cavity,disease,suo_._second_term_800_chunks_P3_10_chunk_10
161,caries,disease,disease_caused_disease,1815,overdiagnosis and overtreatment,disease,suo_._second_term_800_chunks_P3_10_chunk_100
161,caries,disease,disease_caused_disease,1816,chronic diseases,disease,suo_._second_term_800_chunks_P3_10_chunk_1001
1342,dental caries,disease,disease_caused_disease,1817,obesity,disease,suo_._second_term_800_chunks_P3_10_chunk_1008
161,caries,disease,disease_usually happens_population,1818,most populations before the 1980s,population,suo_._second_term_800_chunks_P3_10_chunk_1011
1814,white-spot lesions,symptom,disease_has_clinical manifestations,1819,radiographic diagnoses,examination,suo_._second_term_800_chunks_P3_10_chunk_102
161,caries,disease,disease_usually happens_population,1820,swedish population,population,suo_._second_term_800_chunks_P3_10_chunk_1021
161,caries,disease,disease_has_clinical manifestations,1821,mean dfsa,clinical manifestations,suo_._second_term_800_chunks_P3_10_chunk_1022
161,caries,disease,disease_has_clinical manifestations,1822,mean dfsab,clinical manifestations,suo_._second_term_800_chunks_P3_10_chunk_1022
161,caries,disease,disease_usually happens_population,1823,lower socioeconomic strata,population,suo_._second_term_800_chunks_P3_10_chunk_1023
1342,dental caries,disease,disease_caused_disease,1824,public health problem,disease,suo_._second_term_800_chunks_P3_10_chunk_1024
1342,dental caries,disease,disease_caused_disease,1825,maintenance care caries burden,disease,suo_._second_term_800_chunks_P3_10_chunk_1026
1814,white-spot lesions,symptom,disease_has_clinical manifestations,1826,radiolucencies,clinical manifestations,suo_._second_term_800_chunks_P3_10_chunk_103
1387,fluorosis,disease,disease_caused_disease,1342,dental caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1030
1342,dental caries,disease,disease_caused_disease,1342,dental caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1032
1335,fluoride,medicine,medicine_treats_disease,1342,dental caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1032
1335,fluoride,medicine,medicine_contraindication_disease,1342,dental caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1032
1342,dental caries,disease,disease_usually happens_population,1323,school children,population,suo_._second_term_800_chunks_P3_10_chunk_1032
1335,fluoride,medicine,medicine_contraindicates_population,1323,school children,population,suo_._second_term_800_chunks_P3_10_chunk_1032
1323,school children,population,parent-child,1342,dental caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1032
1335,fluoride,medicine,medicine_side-effect_disease,1342,dental caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1032
1342,dental caries,disease,disease_symptom,1308,tooth decay,symptom,suo_._second_term_800_chunks_P3_10_chunk_1032
1308,tooth decay,clinical manifestations,clinical manifestations_use_treatment,1827,restorative treatment,treatment,suo_._second_term_800_chunks_P3_10_chunk_1032
1342,dental caries,disease,disease_oral part,252,tooth,oral part,suo_._second_term_800_chunks_P3_10_chunk_1032
1335,fluoride,medicine,medicine_reduce_symptom,1308,tooth decay,symptom,suo_._second_term_800_chunks_P3_10_chunk_1032
1335,fluoride,medicine,medicine_contraindication_disease,1342,dental caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1032
1342,dental caries,disease,disease_treatment,1827,restorative treatment,treatment,suo_._second_term_800_chunks_P3_10_chunk_1032
1335,fluoride,medicine,medicine_side-effect_symptom,1308,tooth decay,symptom,suo_._second_term_800_chunks_P3_10_chunk_1032
1308,tooth decay,clinical manifestations,clinical manifestations_happens at_oral part,252,tooth,oral part,suo_._second_term_800_chunks_P3_10_chunk_1032
1335,fluoride,medicine,medicine_reduce_symptom,1308,tooth decay,symptom,suo_._second_term_800_chunks_P3_10_chunk_1032
1335,fluoride,medicine,medicine_contraindicates_population,1323,school children,population,suo_._second_term_800_chunks_P3_10_chunk_1032
1335,fluoride,medicine,medicine_treats_disease,1342,dental caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1032
1335,fluoride,medicine,medicine_contraindication_disease,1342,dental caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1032
1342,dental caries,disease,disease_usually happens_population,1323,school children,population,suo_._second_term_800_chunks_P3_10_chunk_1032
1335,fluoride,medicine,medicine_side-effect_disease,1342,dental caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1032
1342,dental caries,disease,disease_symptom,1308,tooth decay,symptom,suo_._second_term_800_chunks_P3_10_chunk_1032
1308,tooth decay,clinical manifestations,clinical manifestations_use_treatment,1827,restorative treatment,treatment,suo_._second_term_800_chunks_P3_10_chunk_1032
1342,dental caries,disease,disease_oral part,252,tooth,oral part,suo_._second_term_800_chunks_P3_10_chunk_1032
1335,fluoride,medicine,medicine_reduce_symptom,1308,tooth decay,symptom,suo_._second_term_800_chunks_P3_10_chunk_1032
1335,fluoride,medicine,medicine_contraindication_disease,1342,dental caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1032
1342,dental caries,disease,disease_treatment,1827,restorative treatment,treatment,suo_._second_term_800_chunks_P3_10_chunk_1032
1335,fluoride,medicine,medicine_side-effect_symptom,1308,tooth decay,symptom,suo_._second_term_800_chunks_P3_10_chunk_1032
1308,tooth decay,clinical manifestations,clinical manifestations_happens at_oral part,252,tooth,oral part,suo_._second_term_800_chunks_P3_10_chunk_1032
1335,fluoride,medicine,medicine_treats_disease,1342,dental caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1034
1335,fluoride,medicine,medicine_side-effect_symptom,1342,dental caries,symptom,suo_._second_term_800_chunks_P3_10_chunk_1034
1342,dental caries,disease,disease_caused_disease,1342,dental caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1034
1335,fluoride,medicine,medicine_reduce_symptom,1342,dental caries,symptom,suo_._second_term_800_chunks_P3_10_chunk_1034
1335,fluoride,medicine,medicine_contraindicates_population,1828,contraindicated population,population,suo_._second_term_800_chunks_P3_10_chunk_1034
1335,fluoride,medicine,medicine_has_description,1829,clinical use,description,suo_._second_term_800_chunks_P3_10_chunk_1034
1342,dental caries,disease,disease_usually happens_population,1830,individuals aged 3–80 years,population,suo_._second_term_800_chunks_P3_10_chunk_1034
1335,fluoride,medicine,medicine_side-effect_disease,1342,dental caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1034
1831,fluoride toothpaste,medicine,medicine_treats_disease,1342,dental caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1034
1831,fluoride toothpaste,medicine,medicine_side-effect_symptom,1342,dental caries,symptom,suo_._second_term_800_chunks_P3_10_chunk_1034
1832,free fluoride toothpaste,medicine,medicine_treats_disease,1342,dental caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1034
1832,free fluoride toothpaste,medicine,medicine_side-effect_symptom,1342,dental caries,symptom,suo_._second_term_800_chunks_P3_10_chunk_1034
1833,fluoridated sugar,medicine,medicine_contraindication_disease,1342,dental caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1037
1834,fluoride varnishes,medicine,medicine_contraindication_disease,161,caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1039
1342,dental caries,disease,disease_caused_disease,1835,cavitated caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1040
161,caries,disease,disease_caused_disease,1836,cavities,disease,suo_._second_term_800_chunks_P3_10_chunk_1042
1837,caries experience,disease,disease_caused_disease,1838,caries increment,disease,suo_._second_term_800_chunks_P3_10_chunk_1043
1839,actual caries increment,symptom,medicine_side-effect_symptom,1840,believed risk,medicine,suo_._second_term_800_chunks_P3_10_chunk_1047
1841,radiographic diagnosis,description,medicine_has_description,161,caries,medicine,suo_._second_term_800_chunks_P3_10_chunk_105
161,caries,disease,disease_has_clinical manifestations,1842,signs of past caries experience,clinical manifestations,suo_._second_term_800_chunks_P3_10_chunk_1057
1843,caries lesions,disease,disease_caused_disease,1844,advanced lesions,disease,suo_._second_term_800_chunks_P3_10_chunk_1059
1845,caries in permanent dentition,disease,disease_caused_disease,1846,root-surface caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1060
161,caries,disease,disease_caused_disease,1847,low caries incidence,disease,suo_._second_term_800_chunks_P3_10_chunk_1062
161,caries,disease,disease_caused_disease,1848,caries in primary molars,disease,suo_._second_term_800_chunks_P3_10_chunk_1063
161,caries,disease,disease_caused_disease,585,root caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1064
161,caries,disease,disease_caused_disease,161,caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1068
1849,risk assessment in dentistry,medicine,medicine_has_description,1850,"chapel hill, nc: university of north carolina dental ecology, 1990",description,suo_._second_term_800_chunks_P3_10_chunk_1070
161,caries,disease,disease_caused_disease,161,caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1071
161,caries,disease,disease_caused_disease,1847,low caries incidence,disease,suo_._second_term_800_chunks_P3_10_chunk_1072
161,caries,disease,disease_caused_disease,1851,future caries increment,disease,suo_._second_term_800_chunks_P3_10_chunk_1075
1342,dental caries,disease,disease_caused_disease,161,caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1076
1342,dental caries,disease,disease_caused_disease,1852,coronal decay,disease,suo_._second_term_800_chunks_P3_10_chunk_1077
1342,dental caries,disease,disease_caused_disease,585,root caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1077
1853,caries prevention,medicine,medicine_treats_disease,1342,dental caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1077
1838,caries increment,clinical manifestations,clinical manifestations_happens at_oral part,827,teeth,oral part,suo_._second_term_800_chunks_P3_10_chunk_1077
1161,dental examination,examination,examination_at_oral part,827,teeth,oral part,suo_._second_term_800_chunks_P3_10_chunk_1077
1853,caries prevention,medicine,medicine_contraindication_disease,1342,dental caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1077
1853,caries prevention,medicine,medicine_side-effect_disease,1342,dental caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1077
1342,dental caries,disease,disease_lack response_examination,1161,dental examination,examination,suo_._second_term_800_chunks_P3_10_chunk_1077
1838,caries increment,clinical manifestations,clinical manifestations_use_treatment,1853,caries prevention,treatment,suo_._second_term_800_chunks_P3_10_chunk_1077
1342,dental caries,disease,disease_usually happens_population,1854,caries-susceptible teenagers,population,suo_._second_term_800_chunks_P3_10_chunk_1077
1342,dental caries,disease,disease_has_clinical manifestations,1838,caries increment,clinical manifestations,suo_._second_term_800_chunks_P3_10_chunk_1077
1838,caries increment,clinical manifestations,clinical manifestations_happens at_oral part,827,teeth,oral part,suo_._second_term_800_chunks_P3_10_chunk_1077
1853,caries prevention,medicine,medicine_contraindicates_population,1854,caries-susceptible teenagers,population,suo_._second_term_800_chunks_P3_10_chunk_1077
1853,caries prevention,medicine,medicine_side-effect_symptom,1838,caries increment,symptom,suo_._second_term_800_chunks_P3_10_chunk_1077
1342,dental caries,disease,disease_symptom,1838,caries increment,symptom,suo_._second_term_800_chunks_P3_10_chunk_1077
1838,caries increment,clinical manifestations,clinical manifestations_happens at_oral part,827,teeth,oral part,suo_._second_term_800_chunks_P3_10_chunk_1077
1161,dental examination,examination,examination_at_oral part,827,teeth,oral part,suo_._second_term_800_chunks_P3_10_chunk_1077
1853,caries prevention,medicine,medicine_treats_disease,1342,dental caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1077
1342,dental caries,disease,disease_oral part,827,teeth,oral part,suo_._second_term_800_chunks_P3_10_chunk_1077
1838,caries increment,clinical manifestations,clinical manifestations_from_examination,1161,dental examination,examination,suo_._second_term_800_chunks_P3_10_chunk_1077
1853,caries prevention,medicine,medicine_reduce_symptom,1838,caries increment,symptom,suo_._second_term_800_chunks_P3_10_chunk_1077
1342,dental caries,disease,disease_lack response_examination,1161,dental examination,examination,suo_._second_term_800_chunks_P3_10_chunk_1077
1853,caries prevention,medicine,medicine_side-effect_disease,1342,dental caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1077
1853,caries prevention,medicine,medicine_contraindication_disease,1342,dental caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1077
1342,dental caries,disease,disease_usually happens_population,1854,caries-susceptible teenagers,population,suo_._second_term_800_chunks_P3_10_chunk_1077
1838,caries increment,clinical manifestations,clinical manifestations_happens at_oral part,827,teeth,oral part,suo_._second_term_800_chunks_P3_10_chunk_1077
1161,dental examination,examination,examination_at_oral part,827,teeth,oral part,suo_._second_term_800_chunks_P3_10_chunk_1077
1853,caries prevention,medicine,medicine_treats_disease,1342,dental caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1077
1342,dental caries,disease,disease_has_clinical manifestations,1838,caries increment,clinical manifestations,suo_._second_term_800_chunks_P3_10_chunk_1077
1838,caries increment,clinical manifestations,clinical manifestations_use_treatment,1853,caries prevention,treatment,suo_._second_term_800_chunks_P3_10_chunk_1077
1853,caries prevention,medicine,medicine_contraindicates_population,1854,caries-susceptible teenagers,population,suo_._second_term_800_chunks_P3_10_chunk_1077
1853,caries prevention,medicine,medicine_side-effect_symptom,1838,caries increment,symptom,suo_._second_term_800_chunks_P3_10_chunk_1077
1342,dental caries,disease,disease_symptom,1838,caries increment,symptom,suo_._second_term_800_chunks_P3_10_chunk_1077
1838,caries increment,clinical manifestations,clinical manifestations_happens at_oral part,827,teeth,oral part,suo_._second_term_800_chunks_P3_10_chunk_1077
1161,dental examination,examination,examination_at_oral part,827,teeth,oral part,suo_._second_term_800_chunks_P3_10_chunk_1077
1853,caries prevention,medicine,medicine_treats_disease,1342,dental caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1077
1342,dental caries,disease,disease_oral part,827,teeth,oral part,suo_._second_term_800_chunks_P3_10_chunk_1077
1838,caries increment,clinical manifestations,clinical manifestations_from_examination,1161,dental examination,examination,suo_._second_term_800_chunks_P3_10_chunk_1077
1853,caries prevention,medicine,medicine_reduce_symptom,1838,caries increment,symptom,suo_._second_term_800_chunks_P3_10_chunk_1077
1342,dental caries,disease,disease_lack response_examination,1161,dental examination,examination,suo_._second_term_800_chunks_P3_10_chunk_1077
1853,caries prevention,medicine,medicine_side-effect_disease,1342,dental caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1077
1853,caries prevention,medicine,medicine_contraindication_disease,1342,dental caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1077
1342,dental caries,disease,disease_usually happens_population,1854,caries-susceptible teenagers,population,suo_._second_term_800_chunks_P3_10_chunk_1077
1838,caries increment,clinical manifestations,clinical manifestations_happens at_oral part,827,teeth,oral part,suo_._second_term_800_chunks_P3_10_chunk_1077
1161,dental examination,examination,examination_at_oral part,827,teeth,oral part,suo_._second_term_800_chunks_P3_10_chunk_1077
1853,caries prevention,medicine,medicine_treats_disease,1342,dental caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1077
1342,dental caries,disease,disease_oral part,827,teeth,oral part,suo_._second_term_800_chunks_P3_10_chunk_1077
1838,caries increment,clinical manifestations,clinical manifestations_from_examination,1161,dental examination,examination,suo_._second_term_800_chunks_P3_10_chunk_1077
1853,caries prevention,medicine,medicine_reduce_symptom,1838,caries increment,symptom,suo_._second_term_800_chunks_P3_10_chunk_1077
1342,dental caries,disease,disease_lack response_examination,1161,dental examination,examination,suo_._second_term_800_chunks_P3_10_chunk_1077
1853,caries prevention,medicine,medicine_side-effect_disease,1342,dental caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1077
1855,preventing dental caries,medicine,medicine_has_description,1856,what are the costs,description,suo_._second_term_800_chunks_P3_10_chunk_1078
1857,dental services,medicine,medicine_has_description,1858,economic comparisons,description,suo_._second_term_800_chunks_P3_10_chunk_1079
1859,enamel–dentin area,disease,disease_has_clinical manifestations,1860,false-positive diagnosis,clinical manifestations,suo_._second_term_800_chunks_P3_10_chunk_108
1337,fluoridation,medicine,medicine_has_description,1861,costs involved in implementing fluoride-delivery programs,description,suo_._second_term_800_chunks_P3_10_chunk_1083
1862,fluoridated toothpastes,medicine,medicine_treats_disease,1342,dental caries,disease,suo_._second_term_800_chunks_P3_10_chunk_1088
161,caries,disease,disease_has_clinical manifestations,1863,non-cavitated enamel lesions,clinical manifestations,suo_._second_term_800_chunks_P3_10_chunk_109
